Umur (minggu),Perusahaan,Jenis,Konsumsi (g/hari),Konsumsi (g/minggu),Konsumsi/(BB^0.75) (g/minggu),Bobot badan (g),Bobot badan^0.75 (g),Konsumsi Kalsium/BB^0.75 (g/minggu),Konsumsi fosfor tersedia/BB^0.75 (g/minggu),Konsumsi fosfor/BB^0.75 (g/minggu)
1,Aviagen,Ranger premium,31,217,63.54,136,39.82,0.64,0.64,0.48
2,Aviagen,Ranger premium,40,280,67.56,295,71.18,0.68,0.3,0.51
3,Aviagen,Ranger premium,48,336,98.39,477,39.82,0.98,0.44,0.74
4,Aviagen,Ranger premium,50,350,84.45,681,71.18,0.84,0.38,0.63
5,Aviagen,Ranger premium,54,378,80.88,840,102.07,0.81,0.36,0.61
6,Aviagen,Ranger premium,62,434,84.96,953,133.31,0.76,0.38,0.59
7,Aviagen,Ranger premium,64,448,83.22,1067,156.03,0.75,0.37,0.58
8,Aviagen,Ranger premium,67,469,84.41,1180,171.52,0.76,0.38,0.59
9,Aviagen,Ranger premium,69,483,84.51,1294,186.69,0.76,0.38,0.59
10,Aviagen,Ranger premium,72,504,85.99,1407,201.33,0.77,0.39,0.6
11,Aviagen,Ranger premium,74,518,86.37,1521,215.75,0.78,0.39,0.6
12,Aviagen,Ranger premium,76,553,90.29,1634,229.73,0.81,0.41,0.63
13,Aviagen,Ranger premium,79,567,89.18,1771,257,0.8,0.4,0.62
14,Aviagen,Ranger premium,81,588,90.64,2043,273,0.82,0.41,0.63
15,Aviagen,Ranger premium,84,581,86.42,2179,303.88,0.78,0.39,0.6
16,Aviagen,Ranger premium,83,595,87.09,2361,318.93,1.05,0.37,0.51
17,Aviagen,Ranger premium,85,602,86.36,2542,338.71,1.04,0.36,0.5
18,Aviagen,Ranger premium,86,602,86.36,2724,338.71,1.04,0.36,0.5
19,Aviagen,Ranger premium,88,616,86.75,2904,358,1.04,0.36,0.5
20,Aviagen,Ranger premium,90,651,90.11,3087,377.06,1.08,0.38,0.52
21,Aviagen,Ranger premium,93,651,88.68,3178,395.59,1.06,0.37,0.51
22,Aviagen,Ranger premium,95,665,89.21,3269,414.15,1.07,0.37,0.52
23,Aviagen,Ranger premium,97,679,90.43,3450,423.27,1.09,0.38,0.52
24,Aviagen,Ranger premium,100,700,92.58,3541,432.33,2.78,0.32,0.6
25,Aviagen,Ranger premium,102,714,93.16,3632,450.16,2.79,0.33,0.61
26,Aviagen,Ranger premium,106,742,96.19,3723,459.03,2.89,0.34,0.63
27,Aviagen,Ranger premium,108,756,97.38,3814,467.85,2.92,0.34,0.63
28,Aviagen,Ranger premium,109,763,97.68,3882,476.62,2.93,0.34,0.63
29,Aviagen,Ranger premium,110,770,97.98,3905,485.33,2.94,0.34,0.64
30,Aviagen,Ranger premium,112,784,99.32,3928,491.8,2.98,0.35,0.65
31,Aviagen,Ranger premium,114,798,100.95,3951,493.99,3.03,0.35,0.66
32,Aviagen,Ranger premium,116,812,102.57,3974,496.17,3.08,0.36,0.67
33,Aviagen,Ranger premium,117,819,103.3,3997,498.35,3.1,0.36,0.67
34,Aviagen,Ranger premium,118,826,104.03,4020,500.52,3.12,0.36,0.68
35,Aviagen,Ranger premium,119,833,104.76,4043,502.69,3.14,0.37,0.68
1,Aviagen,Rowan 708,30,210,61.27,138,40.26,0.61,0.61,0.46
2,Aviagen,Rowan 708,40,280,68.15,285,69.36,0.68,0.31,0.51
3,Aviagen,Rowan 708,47,329,95.99,465,40.26,0.96,0.43,0.72
4,Aviagen,Rowan 708,50,350,85.18,663,69.36,0.85,0.38,0.64
5,Aviagen,Rowan 708,53,371,79.89,828,100.14,0.8,0.36,0.6
6,Aviagen,Rowan 708,57,399,78.63,989,130.66,0.71,0.35,0.55
7,Aviagen,Rowan 708,59,413,76.99,1132,154.36,0.69,0.35,0.54
8,Aviagen,Rowan 708,62,434,77.39,1265,176.36,0.7,0.35,0.54
9,Aviagen,Rowan 708,64,448,77.24,1389,195.16,0.7,0.35,0.54
10,Aviagen,Rowan 708,66,462,77.47,1508,212.11,0.7,0.35,0.54
11,Aviagen,Rowan 708,69,483,79.12,1628,227.52,0.71,0.36,0.55
12,Aviagen,Rowan 708,70,511,82,1748,241.99,0.74,0.37,0.57
13,Aviagen,Rowan 708,73,525,81.19,1867,270.34,0.73,0.37,0.57
14,Aviagen,Rowan 708,75,546,83.06,2106,284.03,0.75,0.37,0.58
15,Aviagen,Rowan 708,78,560,82.67,2235,310.88,0.74,0.37,0.58
16,Aviagen,Rowan 708,80,574,83.48,2369,325.06,1,0.35,0.48
17,Aviagen,Rowan 708,82,581,83.28,2507,339.57,1,0.35,0.48
18,Aviagen,Rowan 708,83,581,83.28,2650,339.57,1,0.35,0.48
19,Aviagen,Rowan 708,85,595,84.09,2792,354.3,1.01,0.35,0.49
20,Aviagen,Rowan 708,87,630,87.81,2939,369.35,1.05,0.37,0.51
21,Aviagen,Rowan 708,90,630,86.67,3078,384.09,1.04,0.36,0.5
22,Aviagen,Rowan 708,95,665,90.32,3211,399.16,1.08,0.38,0.52
23,Aviagen,Rowan 708,97,679,91.16,3340,413.24,1.09,0.38,0.53
24,Aviagen,Rowan 708,100,700,92.99,3450,426.56,2.79,0.33,0.6
25,Aviagen,Rowan 708,102,714,93.92,3551,439.35,2.82,0.33,0.61
26,Aviagen,Rowan 708,104,728,94.99,3638,450.16,2.85,0.33,0.62
27,Aviagen,Rowan 708,107,749,97.03,3708,460.01,2.91,0.34,0.63
28,Aviagen,Rowan 708,108,756,97.34,3767,468.43,2.92,0.34,0.63
29,Aviagen,Rowan 708,109,763,97.78,3806,475.18,2.93,0.34,0.64
30,Aviagen,Rowan 708,111,777,99.18,3827,480.84,2.98,0.35,0.64
31,Aviagen,Rowan 708,112,784,99.82,3847,484.56,2.99,0.35,0.65
32,Aviagen,Rowan 708,114,798,101.46,3867,486.57,3.04,0.36,0.66
33,Aviagen,Rowan 708,116,812,103.1,3887,488.47,3.09,0.36,0.67
34,Aviagen,Rowan 708,117,819,103.86,3907,490.38,3.12,0.36,0.68
35,Aviagen,Rowan 708,118,826,104.61,3927,492.28,3.14,0.37,0.68
1,Aviagen,Ranger classic,32,224,64.01,150,42.86,0.64,0.29,0.48
2,Aviagen,Ranger classic,42,294,70.07,310,73.88,0.7,0.32,0.53
3,Aviagen,Ranger classic,50,350,100.01,505,42.86,1,0.45,0.75
4,Aviagen,Ranger classic,52,364,86.75,720,73.88,0.87,0.39,0.65
5,Aviagen,Ranger classic,56,392,82.69,900,106.53,0.83,0.37,0.62
6,Aviagen,Ranger classic,64,448,86.49,1075,139,0.78,0.36,0.61
7,Aviagen,Ranger classic,67,469,85.63,1230,164.32,0.77,0.36,0.6
8,Aviagen,Ranger classic,70,490,85.57,1375,187.74,0.77,0.36,0.6
9,Aviagen,Ranger classic,72,504,85.1,1510,207.7,0.77,0.36,0.6
10,Aviagen,Ranger classic,75,525,86.22,1640,225.8,0.78,0.36,0.6
11,Aviagen,Ranger classic,77,539,86.47,1770,242.23,0.78,0.36,0.61
12,Aviagen,Ranger classic,79,574,90.2,1900,257.71,0.81,0.38,0.63
13,Aviagen,Ranger classic,82,588,89.06,2030,287.78,0.8,0.37,0.62
14,Aviagen,Ranger classic,84,616,91.77,2160,302.43,0.83,0.39,0.64
15,Aviagen,Ranger classic,88,602,88.3,2290,316.84,0.79,0.37,0.62
16,Aviagen,Ranger classic,86,616,89.05,2430,331.04,1.07,0.31,0.52
17,Aviagen,Ranger classic,88,630,89.73,2575,346.1,1.08,0.31,0.52
18,Aviagen,Ranger classic,90,630,89.73,2725,346.1,1.08,0.31,0.52
19,Aviagen,Ranger classic,92,644,90.4,2880,361.48,1.08,0.32,0.52
20,Aviagen,Ranger classic,94,679,93.98,3035,377.16,1.13,0.33,0.55
21,Aviagen,Ranger classic,97,679,92.69,3195,393.14,1.11,0.32,0.54
22,Aviagen,Ranger classic,99,693,93.37,3345,408.9,1.12,0.33,0.54
23,Aviagen,Ranger classic,101,707,94.04,3490,424.96,1.13,0.33,0.55
24,Aviagen,Ranger classic,104,728,95.73,3630,439.84,2.87,0.34,0.62
25,Aviagen,Ranger classic,106,742,96.54,3750,454.07,2.9,0.34,0.63
26,Aviagen,Ranger classic,109,763,98.3,3860,467.66,2.95,0.34,0.64
27,Aviagen,Ranger classic,111,777,99.29,3920,479.21,2.98,0.35,0.65
28,Aviagen,Ranger classic,112,784,99.46,3970,489.71,2.98,0.35,0.65
29,Aviagen,Ranger classic,113,791,99.97,4010,495.41,3,0.35,0.65
30,Aviagen,Ranger classic,115,805,101.41,4040,500.14,3.04,0.35,0.66
31,Aviagen,Ranger classic,117,819,102.92,4070,503.92,3.09,0.36,0.67
32,Aviagen,Ranger classic,118,826,103.61,4100,506.74,3.11,0.36,0.67
33,Aviagen,Ranger classic,120,840,105.17,4130,509.56,3.16,0.37,0.68
34,Aviagen,Ranger classic,121,847,105.85,4160,512.37,3.18,0.37,0.69
35,Aviagen,Ranger classic,122,854,106.53,4190,515.18,3.2,0.37,0.69
1,Aviagen,Rowan ranger,30,210,61.27,138,40.26,0.61,0.28,0.46
2,Aviagen,Rowan ranger,40,280,68.15,285,69.36,0.68,0.31,0.51
3,Aviagen,Rowan ranger,47,329,70.85,465,100.14,0.71,0.32,0.53
4,Aviagen,Rowan ranger,50,350,68.97,663,130.66,0.69,0.31,0.52
5,Aviagen,Rowan ranger,53,371,69.16,828,154.36,0.69,0.31,0.52
6,Aviagen,Rowan ranger,62,434,77.39,989,176.36,0.7,0.33,0.54
7,Aviagen,Rowan ranger,64,448,77.24,1132,195.16,0.7,0.32,0.54
8,Aviagen,Rowan ranger,67,469,78.64,1265,212.11,0.71,0.33,0.55
9,Aviagen,Rowan ranger,69,483,79.12,1389,227.52,0.71,0.33,0.55
10,Aviagen,Rowan ranger,71,497,79.75,1508,241.99,0.72,0.33,0.56
11,Aviagen,Rowan ranger,74,518,81.55,1628,256.3,0.73,0.34,0.57
12,Aviagen,Rowan ranger,76,546,84.44,1748,270.34,0.76,0.35,0.59
13,Aviagen,Rowan ranger,78,567,84.92,1867,297.61,0.76,0.36,0.59
14,Aviagen,Rowan ranger,81,588,86.8,1987,310.88,0.78,0.36,0.61
15,Aviagen,Rowan ranger,84,581,84.5,2106,325.06,0.76,0.35,0.59
16,Aviagen,Rowan ranger,83,595,85.29,2235,339.57,1.02,0.3,0.49
17,Aviagen,Rowan ranger,85,602,85.08,2369,354.3,1.02,0.3,0.49
18,Aviagen,Rowan ranger,86,602,85.08,2507,354.3,1.02,0.3,0.49
19,Aviagen,Rowan ranger,88,616,85.86,2650,369.35,1.03,0.3,0.5
20,Aviagen,Rowan ranger,90,651,89.56,2792,384.09,1.07,0.31,0.52
21,Aviagen,Rowan ranger,93,651,88.42,2939,399.16,1.06,0.31,0.51
22,Aviagen,Rowan ranger,95,665,89.28,3078,413.24,1.07,0.31,0.52
23,Aviagen,Rowan ranger,97,679,90.2,3211,426.56,1.08,0.32,0.52
24,Aviagen,Rowan ranger,100,700,92.08,3340,439.35,2.76,0.32,0.6
25,Aviagen,Rowan ranger,102,714,92.49,3551,460.01,2.77,0.32,0.6
26,Aviagen,Rowan ranger,104,728,93.74,3638,468.43,2.81,0.33,0.61
27,Aviagen,Rowan ranger,107,749,95.98,3708,475.18,2.88,0.34,0.62
28,Aviagen,Rowan ranger,108,756,96.5,3767,480.84,2.89,0.34,0.63
29,Aviagen,Rowan ranger,109,763,97.14,3806,484.56,2.91,0.34,0.63
30,Aviagen,Rowan ranger,111,777,98.79,3827,486.57,2.96,0.35,0.64
31,Aviagen,Rowan ranger,112,784,99.55,3847,488.47,2.99,0.35,0.65
32,Aviagen,Rowan ranger,114,798,101.2,3867,490.38,3.04,0.35,0.66
33,Aviagen,Rowan ranger,116,812,102.84,3887,492.28,3.09,0.36,0.67
34,Aviagen,Rowan ranger,117,819,103.59,3907,494.18,3.11,0.36,0.67
35,Aviagen,Rowan ranger,118,826,104.34,3927,496.07,3.13,0.37,0.68
1,Hendrix-genetics,Babcock brown,11,77,26.96,66.5,23.29,0.29,0.13,0.2
2,Hendrix-genetics,Babcock brown,17,119,34.75,137.5,40.15,0.37,0.17,0.26
3,Hendrix-genetics,Babcock brown,25,175,45.52,218.5,56.83,0.49,0.22,0.34
4,Hendrix-genetics,Babcock brown,32,224,53.51,307,73.34,0.54,0.22,0.37
5,Hendrix-genetics,Babcock brown,37,259,57.84,402,89.78,0.58,0.24,0.4
6,Hendrix-genetics,Babcock brown,42,294,62.1,502.5,106.13,0.62,0.26,0.43
7,Hendrix-genetics,Babcock brown,46,322,64.93,605,121.99,0.65,0.27,0.45
8,Hendrix-genetics,Babcock brown,50,350,67.82,709.5,137.47,0.68,0.28,0.47
9,Hendrix-genetics,Babcock brown,54,378,70.76,814.5,152.46,0.67,0.25,0.41
10,Hendrix-genetics,Babcock brown,58,406,73.76,918,166.78,0.7,0.27,0.43
11,Hendrix-genetics,Babcock brown,61,427,75.57,1019.5,180.42,0.72,0.27,0.44
12,Hendrix-genetics,Babcock brown,64,469,81.13,1117,193.21,0.77,0.29,0.47
13,Hendrix-genetics,Babcock brown,67,490,81.6,1211.5,216.56,0.78,0.29,0.47
14,Hendrix-genetics,Babcock brown,70,511,83.79,1300.5,226.85,0.8,0.3,0.49
15,Hendrix-genetics,Babcock brown,73,532,86.07,1383.5,236.13,0.82,0.31,0.5
16,Hendrix-genetics,Babcock brown,76,574,91.79,1459.5,244.58,0.87,0.33,0.53
17,Hendrix-genetics,Babcock brown,82,609,96.41,1529.5,252.03,1.98,0.4,0.63
18,Hendrix-genetics,Babcock brown,87,609,96.41,1592,252.03,1.98,0.4,0.63
19,Hendrix-genetics,Babcock brown,93,651,102.21,1646,258.42,2.1,0.43,0.66
20,Hendrix-genetics,Babcock brown,100,742,115.68,1693,263.93,2.37,0.49,0.75
21,Hendrix-genetics,Babcock brown,106,742,115.18,1722,267.32,2.36,0.48,0.75
22,Hendrix-genetics,Babcock brown,111,777,120.13,1750,270.57,2.46,0.5,0.78
23,Hendrix-genetics,Babcock brown,114,798,122.98,1773,273.23,2.52,0.52,0.8
24,Hendrix-genetics,Babcock brown,115,805,123.67,1795,275.77,2.54,0.52,0.8
25,Hendrix-genetics,Babcock brown,115,805,123.35,1814,277.96,2.53,0.52,0.8
26,Hendrix-genetics,Babcock brown,115,805,123.13,1827,279.45,2.52,0.52,0.8
27,Hendrix-genetics,Babcock brown,115,805,122.93,1839,280.83,2.52,0.52,0.8
28,Hendrix-genetics,Babcock brown,115,805,122.74,1850,282.08,2.52,0.52,0.8
29,Hendrix-genetics,Babcock brown,115,805,122.58,1860,283.23,2.51,0.51,0.8
30,Hendrix-genetics,Babcock brown,115,805,122.43,1869,284.25,2.51,0.51,0.8
31,Hendrix-genetics,Babcock brown,115,805,122.3,1877,285.17,2.51,0.51,0.79
32,Hendrix-genetics,Babcock brown,115,805,122.17,1885,286.08,2.5,0.51,0.79
33,Hendrix-genetics,Babcock brown,115,805,122.06,1892,286.87,2.5,0.51,0.79
34,Hendrix-genetics,Babcock brown,115,805,121.96,1898,287.56,2.5,0.51,0.79
35,Hendrix-genetics,Babcock brown,115,805,121.87,1904,288.24,2.5,0.51,0.79
1,Hendrix-genetics,Babcock white,7,49,17.16,66.5,23.29,0.18,0.08,0.13
2,Hendrix-genetics,Babcock white,14,98,28.91,132,38.94,0.31,0.14,0.22
3,Hendrix-genetics,Babcock white,21,147,38.99,202,53.58,0.42,0.19,0.29
4,Hendrix-genetics,Babcock white,27,189,46.33,277,67.9,0.46,0.19,0.32
5,Hendrix-genetics,Babcock white,32,224,51.6,355,81.78,0.52,0.22,0.36
6,Hendrix-genetics,Babcock white,37,259,56.71,435,95.25,0.57,0.24,0.4
7,Hendrix-genetics,Babcock white,42,294,61.63,518,108.58,0.62,0.26,0.43
8,Hendrix-genetics,Babcock white,46,322,65.01,602,121.53,0.65,0.27,0.46
9,Hendrix-genetics,Babcock white,49,343,67.02,686,134.04,0.64,0.24,0.39
10,Hendrix-genetics,Babcock white,53,371,70.42,770.5,146.24,0.67,0.25,0.41
11,Hendrix-genetics,Babcock white,56,392,72.5,854.5,158.05,0.69,0.26,0.42
12,Hendrix-genetics,Babcock white,59,434,78.44,937,169.36,0.75,0.28,0.45
13,Hendrix-genetics,Babcock white,62,455,79.1,1017.5,190.35,0.75,0.28,0.46
14,Hendrix-genetics,Babcock white,65,476,81.4,1095,199.99,0.77,0.29,0.47
